decoded_emojis,rating
جدا يوفر الوقت thumbs up,1
افضل موقع طلبات,1
الموقع مره حلو سريع والأكل حار والي يحبون الطلب حقك طيبين قلبهم زي العسل,1
نصفين,-1
المطعم الفصل لدي الجميع,1
روعه مرررررههه,1
برنامج سيئ لا يهتم عملائه هو لا يوجد تجاوب في حال كان المطعم المطلوب منه سيئ ولا يوجد خدمة عملاء . تم حذفه نهائيا .,-1
رهيب التطبيق ذا,1
آخر برنامج في العالم,-1
تحت التجربه,1
الهامبرغر hamburger عندكم رائع,1
كل لم اطلب من مطعم يقول هذا المطعم لا يدعم الكود ايه اعمل مع العلم ده اول الردار,-1
انا عندي مطعم مصر عاوز اتعتقد مع طلبات ازاي اتواصل معاكم للتعاقد,1
مره يجني وسهلتم علينا الطلب,1
كفو كفو,1
على قد,-1
سييييييييي,-1
اخر طلبات للامان احب اهتمامهم بسرعه حل الإشكالية، بس في مشكله تخميني ابحث عن برنامج بديل،،، والسبب انه مره الدفع بالبطاقة يروح ومره لا واتصل بالبنك يقولو الإشكالية من البرنامج من امس ابا اطلب من سن مارت البطاقه لا فائده,1
لاول والقوة إلا بالله انت تبع الشركة يا عم ولا ايه هو لازم أروح الشركة ولا ايه انت لسة نايم ولا ايه ما تصحيح معانا يا بيه,-1
الصراحه البرنامج حلو هو يوفر لك حريه الاختيار هو سريع هو ما يعلق هو انصح بتحميله هو حمله للكل,1
انصتوا عملكم ولا تعلموا أحد,-1
مش عاوز يفتح زي الزفت,-1
face screaming in fear astonished face,1
ممتاز جدا شكرا فينوس ديم في المقدمة ومن نجاح لنجاح أن شاءالله,1
برنامج فاشل جداااااااااا لايعمل,-1
اسرع تطبيق لتوصيل الاكل والشرب,1
ناس كيسين خالص ووفر كتير عاليا شكرا سونيل,1
يجب من بكامل يضاف الى التطبيق التعامل خصم يطبع علي فوري,0
حلووووو مراااا شكرا على ها التطبيق,1
tulip شيربوينت: thumbs up,0
الاداره لا طلعت مصطفي,1
خدمه جيدة,1
الي مرات ينزل كيف بس انصحك انو ينزل والي معاي لايك احبكم,1
خدمه ممتازه ومواعيد مربوطه . وخطوط سريعه,1
أكبر شركة الصلب في الشرق الأوسط ، يشرفني ألعمل بها,1
تطبيق سي لا يوجد به مطاعم كثيره حتى لا يوجد بيتزا هت وانا في معادي,-1
التطبيق بحاجة الى كثير من التحسينات بصراحة لا يلبي الطموح ولا يفي بالغرض,-1
ممتاز smiling face with sunglasses thumbs up,1
تطبيق سيئ جدا لأنه لا يغطي حتى محافظة القاهرة,-1
ممكن لتحويلها يقيم على الأصناف مباشرة تجمد بشراب يجب السايكوباتيه تنسيق,0
انهو الأفضل,1
بس ماكدونالدز مو موجود مع قائمه المطاعم؟!!,1
كل البرامج توصل لمدينتي الا هذا التطبيق الغبي,-1
التطبيق لا يعمل معي منذ يومين عند فتحه يتم اغلاقه مباشرة رغم تحميلي لآخر تحديث يرجى المساعدة,1
اعطوا الكابتن حقها,-1
كتابين يبلغوا الخصم بعدالطلب,-1
كل ابداع الفضاءات المكتوب به حكومتكم يعني السعوديه مستعمره,0
smiling face with heart-eyes thumbs up thumbs up thumbs up,1
يقيم,1
ممتااااااأااااااااااااااا.ااااااااااااااااااااز,1
غير شكل,1
كان الافضل هو أصبح الأسوء .. لا انصح به على الإطلاق,-1
ممتازة جدا جدا افضل من هنتر ستيشن,1
كلا اطلب منه وفر علي وقت واكتشفت مطاعم عجيبه,1
برنامج جميل جدا وخفيف احسنت وى,1
تطبيق فاشل كثير الأعطال,-1
للأسف التطبيق مش مثل زمان ، صار نهب بحت ! اسعار عاليه جدا ، غير هيك بدل خدمه دينار + توصيل دينار! اذا بدك تأخذ مني بدل خدمه ليش تزيد على سعر الاكل! مثال سندويش سوبر شارما من مطعم ca سعرها دينار وعشر قروش عند طلبات سعرها دينار ونص! ليس ذلك على اسعار الوجبات اقل شيء زياده نصف دينار على الوجبه يعني لسه اطلب من المطعم ديلفري اوفرلي ! ما في داعي ابعث على الايميل هي الكلام موجود أمامكم انسوا على الايميل اذا يهمكم مصلحه العمل بتحلوها وبتابعوا بدون ما انا ابعث على الايميل,-1
تطبيق ممتاز جدا اشكركم,1
احسن برنامج وصل بسرررعه هو الطلب ساخن هو مثل ما طلبت لا زياده هو لا نقصان,1
ارجو لكم الأحسن,1
رائع جدا البرنامج,1
غير متاح التوصيل لمدينة السلام علي اعتبار انها منطقه شعبيه وله مش ناكل زي باقي الناس ؟,-1
تطبيق باله دايما بيدي خطأ اتصال ارجو من المشرفين على التطبيق حذفه من جوجل بلاي نهائيا حيث انه من اسواء التطبيقات,-1
حلو دائما استخدم,1
اغلب المطاعم هو عامل التوصيل لا يتعاملوا باللوكيشن وحتى العنوان وتقود ساعة توصف الاماكن هو هم قابلين دماغهم هو تعاملاته سيئة وغير لائقة هو ايه فائدة تسجيل البيانات هو في الاخر جيلي واحد يطلع من المطعم يقول انت فين هو المسافة بيني وبين المطعم مش صغيرة هو يبقى مش عارف اي حاجة في الشارع هو لا عنوان ولا اي حاجة ويقود يرغب هو سبحان الله كلهم عندهم نفس الرد الجي بي اس عطلان طب انا مالي هو يتصل لما يوصل او حتى قرب من المنطقة لتفاصيل اكتر هو بقول كدة عشان في مشاكل كانت تحصل بسبب كدة /كأن المطعم مش في التطبيق,-1
شسشكشق,1
مشكلة التعليق زادت اثناء استعمال البرنامج,-1
بصراحه من مره ما راح يعطيهم خمس نجوم انا بنت والله اسمي مدين من الكويت باي i love it,1
حلو winking face winking face hundred points red heart smiling face with hearts,1
اجمل تطبيق الطلب,1
ما عارف أستفيد من العرض دقيقه للكل الشبكات بعد تنزيل وتطبيق البرنامج,1
برقر كنج سريع التوصيل,1
red heart red heart red heart red heart red heart,1
نفسة هو برنامج على ؟ خطك,0
رلنتلبيلللللانثثجرنفسنفسخفيهفيىهفسفنيخفرغخينغيغحقخقنلىخغيخليخغيخيخلررهغهلدسهف اوااواو,1
جميل بس اعمل عروض اكتر,1
اعطي الكابتن حقهم,-1
بس ماك يجي بارد اتمنى يجي حار وكيفسي نطلب بطاطا حاره جينا بارده وهكذا فى اتمنى المره الجويه يكون احسن smiling face,1
red heart أفضل تطبيق,1
زلت ارجوا تعديل,-1
البرنامج اكثر من جميل ورائع يعطيكم الكافيه القائمين عليه بس ياليت كل صور الالات تكون متوفره علشان الواحد يعرف شنو يختار,1
مين الغبى الى عمل التحديث الجديد,-1
سعر التوصيل مناسب,1
انا حجزت رحله من القاهره مدينة نصر الى مدينة المنصورة ومش عارف مكان المقابله او اي خبر عن الرحله,1
تطبيق سئ جدا وحامي بفعل كود الخصم مش عايز تفعل,-1
جميل جداا heart exclamation .,1
احلى موقع والله لولاها,1
"دائما"" نقطة حمراء والمطعم مغلق رغم اني اتصل عليهم بنفس الوقت وبوصلولي يعني يا المطاعم غير متعاونة معكم او انكم غير مسيطرين وعدد المطاعم المتاحة قليل ووقت التوصيل غريب يعني بعض المطاعم محاطين ساعة يعني بعد الغد اطلب العشاء عشان يلحق يوصل بصراحة على الحملة الاعلانية بالراديو الفيس والتلفزيون كنت متوقع شيء مبهر لكن الواقع مخزي حاج تصرف فلوس على الاعلانات حسنا الخدمة احسنلكم",-1
خدمة رائعة بجد,1
طلبت قبل شوي خبز سيئ جدا وصلني الخبز كأنه اله شهر مخبوز لا انصح,-1
جيل أكل اللحوم الحمراء يعتبر نفسه من غير المعقول في كل عام وانت بخير بمناسبة عيد الفطر المبارك في مصر. المغرب العربي الأنباء وكالة الأنباء السعودية من المساس بها من سلطان بن عبدالعزيز بن غزة بالف.,1
تطبيق حلو انصحك تحطم الدفع عند الاستلام بس لوكان بدون نت,1
جميل جدا ورائع جدا جدا,1
لا يوجد خدمة السحب بالشبكة اما تسديد اجباري قبل الاستلام او نقدي احيانا لايكون متوفر الكاش نرجوا وضع تسديد عن طريق الشبكة مع العلم انه كان موجودا ما الفائده من تحديد بيانات الموقع اذا نعيد رسالة كل مرة الى السائقين,1
زق تبن خرا انا بيتزا يجبرني اطلب حبات هو طلبت صغير هو السعر غالي بيتزا صغير ريال من المحلات وش معنا هنا به ريال التطبيق زق لا انصح بتحميله غاااااااالي نااااااااااااااااااار زققققققققققققققققققققققققققققققققققققققققققققققققققققققققققققققققققققققققققققققققققققققققققققق,-1
معرفش والله لسا تجربه,1
تطبيق باله,-1
خدمه جميله ممتازه خدمه عملاء ممتازه جدااااا جدااااا سريعه بس الاسعااااار بقت غااااليه قوووووي,1
الاكل ممتاز التوصيل سريع,1
البرنامج محتاج تحديث في تليفونات لما الى ادخل عليها الاقل البرنامج قفل لوحده ياريت المشكلة تتصل,-1
السلام عليكم بس ممكن خدمة انا من سلطة عمان وفي ولاية السوق بس في البرنامج لا تظهر ولاية السوق,-1
أشبيلية قد من شئ,1
حييييييل حلوووو thumbs up hundred points,1
السلام عليكم كيف طريقة تسجيل مطعم في التطبيق علما بأني دخلت على الاستمارة المرفق في التسجيل مطعم لكن هناك مشكله تقنيه نرجوا الاراده,1
سي للغايه,-1
الاكل هواي طيب OK_hand OK_hand OK_hand thumbs up thumbs up thumbs up beating heart two hearts,1
احسن برنامج توصيل اكل بس زمان رعايته تقعد دقيقه تتخلص هذا عادي دعايه خفيفه لطيفه,1
مش عارفه ادخل,-1
فين خط مدينه العبور اللي بتعلنوا عنه ولا هو كلام اعلانات,-1
سريع بالتوصيل,1
ليش في حي الصهباء مافيه الا مطعم واحد وش ذا تلعبون علينا انتو,-1
بصراحه شركه محترمه قوى احسن حاجه ممكن اوصل بيها لبرج العرب والساقين غايه في الاحترام والأدب,1
التطبيق المنقذ تالي الليل,1
ممتاز جدا..,1
نصابيين وحراميه وبحطو ضريبه مبيعات عن اساس انها من المطعم وبوخذو توصيل والأكل اغلى من المطعم ..... انشالله يلي عمل هيك يحطم دواء ...ولك الشعب متفجر وانا بتتحرمنو عليه حسب الله ونعم الوكيل فيكم,-1
سرقة فى الباقة وانت يفصل بالثلاثة ايام ويرجع يفصل تانى اسوء شركة ممكن تتعاقد معاها,-1
معقوله زق دوت كم اهاهاهاهاهاهاا,1
تطبيق يشكرون عليه,1
مفتبنبقتن,-1
برنامج فاشل كل ما تطلب من المطعم المطعم يلغي الاوردر خالص مسحته من عندى,-1
اناسا عيني التطبيق وايد smiling face with hearts smiling face with hearts smiling face with hearts smiling face with hearts smiling face with hearts red heart,1
مش بطل,1
اسعار التوصيل مبالغ فيها مو معقوله التوصيل دينار او فلس,-1
لو سمحت لو انا حجزت من المقدره فيكتوريا بكم سعر الفرد برجاء الرد,1
خدمة ممتازة بس عاوزة اختيار كويس للكابتن,1
هو سؤال بس هو ممكن اشتغل معاكم واصل حد في طريقه الصبح للشغل ازاي اتوصل معاكم,1
هذا التطبيق أجمل تطبيق في حياتي,1
يفك ازمه هههههه,1
ممتاز thumbs up light skin tone,1
تشطيبات سيئة نصب على العملاء معاملة خالية من الإحترام أوسخ مطور عقاري في مصر,-1
في مطاعم معروفه مثل هارفي أو جسمي يا ريت تضيفونهم,1
تحتاج إضافة مطاعم في مدينه رفقاء مدينه عرعر غير موجوده اساسا تطبيق لايصلح به ريال,-1
برنامج سئ للغايه طلبت موردر توصيل مجاني تفاجأت ان ضعيف جنيه توصيل وطلبت طلبات من طلبات مارت قابلي الاوردر مختلف خالص ومش بيلبو الاوردر رغم انه الغلط من عندهم,-1
ممتازه سهله,1
اسواء برنامج,-1
برنامج تجربته اكثر من مره في الكويت وبسعودية تحديد في عرعر ماتتوفر بعض المناطق مثل . المساعديه. المنصورية. شمال المنصورة اتمنى ان تضيف هذي المناطق وراح اكون من اول الداعمين لكموشكرا.,-1
ايه جائع ثبته بس لاني جميع,-1
هل يوجد السداد الفيزا اون لاين,-1
نفس هنقرستيشن يزيدون بسعر الوجبات بالمطعم,-1
أفضلهم,1
جميل جدا جدا جدا جدا حمل الابلكيشن,1
احل ابلكشن,-1
تطبيق ممتاز صراحة,1
شي كتير رائع وجميل,1
انه اجمل طريق,1
red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart red heart,1
ممتاز افضل تطبيق لطلب الطعام انا طلبت بس ما جاني في الموعد بس جاني قبل الموعد افضل تطبيق,1
افضل برنامج توصيل طلبات,1
زي المره,-1
جميل هو رائع,1
تطبيق مفهوم عروض,-1
راضيه جدا برنامج سهل علينا وريحنا حيل kiss mark,1
لا يعلى عليه,1
اسعاركم غاليه,-1
thumbs up light skin tone red heart tulip,1
لم أثبت التطبيق واحصل على ازعاج من كثرة الدعاية للتطبيق سواء عند اتصالى بالهاتف او عند عدم الأتصال..,-1
التطبيق بعد التحديث لم يفتح معى ويفتح صفحة بيضاء أية السبب العيب فى الأصدار,-1
كم دافعي اليوتيوب عشان اعلانك التافه في اللي طلب من الصين سوشي جولي اياه الان من الصين مو من اي دوله مع مشاهدتي التعليقات كنت اود تنزيل التطبيق ولكن للاسف,-1
very unique and practical ape,1
تطبيق سيئ جدا جدا جدا جدا واتضحلى كمان انه يزود فى اسعار المنتجات المفروض انه تطبيق توصيل ميزودتش فى الأسعار . والله النجمة دى خسارة فيه,-1
استخدام لغه مؤذيه لغتنا العربيه,-1
excellent application. i recommend it to all my friends.,1
سيئ جدا ومش يحمل الموقع,-1
هل مصر موجوده ارجو الرد,1
مهم جدا,1
احسنتم العمل شكرا لكم,1
ﺎخترت محتاجه,0
يوجد اسعار داخل المطاعم ارخص بكثير من على الابلكيشن هو تجربه سيئه جدا thumbs down medium-light skin tone,-1
ياجماعه البرنامج يتعب كتيررر لاحد ينزل,-1
البرنامج اكثر من رائع وحتى طلبك من المطاعم ممتع,1
جمييييييييييل يسلم على الاقتراح,1
ااططبيق منتز,1
amaazziinngg,1
رفع,1
زي الزفت عن طول في عطل,-1
احسن مطعم,1
في توصيل للكرك؟؟.,1
بس اريد اسوي حساب ما جاي يصير دائما يكفي خطأ في كلمة المرور مع العلم بعثولي رابط تغيير كلمة المرور دخلت عليه هو غيرت هو اعتني رسالة بأنه تم تغيير كلمة المرور بنجاح بس من احاول تسجيل الدخول بالتطبيق يرجع يكفي خطأ في كلمة المرور,-1
والله البرنامج كلام مرا حلو,1
عندي مشكله في القسائم مش عارف استخدمها,1
شكرا جدا الرحلات مريحه فعليا,1
ياريت صباح تليفوني كنتاكي اكثر مهتمين تشكل منطقة أبوك,0
sad but relieved face sad but relieved face,1
الموقع رائع وقمت بالشراء وانصدمت من سرعة توصيل الطلب لذلك قررت اضيف بطاقة الماستر على التطبيق حتى اشتري مباشرة لكنه برفض إضافتها علما ان نفس البطاقة شفتها على حساب قوقل شغالة تمام . شو المشكلة ضروري تنحل,-1
لا للاستسلام,1
زبالة بمعنى الكلمة وصلت طلب به ونص مجاني طلب به تحكي مع خدمة العملاء بدون فائدة من الأربعة للستة وانا بطلب الفرقة على الماضي,-1
نزفت,-1
اعملوا رقم للاستفسارات.. برنامج كل طلبات سروري يكون فيه رقم للتواصل السمعي..,-1
clapping hands OK_hand thumbs up,1
كابتن محترم جدا جدا,1
تطبيق روعه بس لو يحلو ماك,1
بنا من فوق الخيال جرب مش هاتخصر,1
بصراحة اسواء تطبيق وكله سمسرة ونصب احتيال من واجبي احكي لكم الله لا يبارك فيكم ولا بتطبيقكم النصاب,-1
فخممممممممممممممم,1
تطبيييق بخزي مقرف افشل تطبيق شفتي بحياتي,-1
شركة عالمه للغايه,-1
كان أول ممتاز لكن الحين سئ جدااااااا,-1
سيء جدااا ... مرتين استخدم كود خصم هو يتم البرنامج هو ميظهرش المطعم,-1
سئ جدا هو مش يسجل دخول كل ما بسجل يكتب ان المعلومات غير صحيحه,-1
البرنامج فاقد العقل xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,-1
سيئه للغاية,-1
الله يعطيكم الف عافية وعلينا بالعافية,1
smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes,1
عجيب يوصلك البيت smiling face with halo smiling face with horns,1
انا عميل جديد ولم احصل على كود الخصم لماذا,-1
افضل محفظة الكترونية,1
كل أحياء عنيفة حطيتوه الا حينا ! حي الملك خالد . ان شا الله تحبونه كنت جرب البرنامج بس حسابه حينا من فيه ..,-1
ممتاز...شكرا,1
ان البرنامج جيد جدا بس مافي مناطق,-1
من افضل المطاعم لدي شكرا لجهودكم,1
للأسف العاملين على طلبات والسوق غير مؤهلين ودائما الطلب يكون ناقص او بارد هل هو متعمد من المطاعم او السوق ياكلون الأكل ودائما ماعندهم فكه هو مو عارف العنوان تم إلغاء البرنامج,-1
حملوها روعه بمعنى الكلمه هو ال يقول مو حلو هو هو الي يقلون كذا تراكم انتم الي مو حلوين لن صاحب البرنامج متكلف هو تعب بس على انكم هو انتم لنه سوا سيتم به الغيره,1
مميز red heart,1
جيد ولكن اتمنى إضافة المزيد من المطاعم والماركت,1
شكرا على الخدمة الاكثر من رائعه,1
هو حلو بس فيه مشكله واحدة وهي أنه غير متوفر في كل البلدان العربية مثل العراق وغيرها الكثير من البلدان ... اتمنا يصير بكل البلدان وشكرا,-1
ممتازه,1
حلوه اوي,1
تحت التجربه . لا اله الا الله محمد صل الله عليه وسلم رسول الله,1
البرنامج تحفه اوى هو بصراحه مفيش برنامج زي,1
تطبيق زلت وفوق هيك غرامية,-1
بعض التعليقات.. خلتني اتردد هههه,-1
سيء جدا جدا كلامه إنت مش تعرفه تشتغل بتعملوه ليه مثلا يعني snake إيه القرف ده ياربي,-1
انا اول مره انزل التطبيق دا زبالة الزبالة ومش عارف اسحب الفلوس الي ودعتها,-1
اعتدنا هل انت شريك في الحزم عودتنا اليوتيوب لو اخر تطبيق وعليه تصير الحياة ما راح منزلك ما اثقل دم هالشركه.,-1
مبرمج فاشل بالامان وحكمت علي نفسك بالفشل من اولا ابقو استني الانجليز لما يحلو مصر علشان يركب معاك مفيش عربي قال,-1
بجد شكرا جدا على الخدمه الممتازه دي ربنا يوفقكو thumbs up,1
وحااار,1
شكرا على تعاملك الفاشل تأخير في الطلبات ، وعند الاتصال عدم الرد على العملاء هو اوقاتكم ليست دقيقه ، وسوف اقاطع برنامجكم الفاشل هو كل العائله والاصدقاء سوف احدهم عن فشلكم بالطلبات وعدم الرد على العملاء لساعات من الاتصال والانتظار ، للمره الثانيه شكرا على فشل خدمتكم للعملاء وفشل بداية الاتصال اتصلت اكثر من مرات ولا يوجد رد,-1
شكرا لكم tulip,1
خلود,1
السلام عليكم ابحث عن وظيفه دليفري اريد الانضمام الى فريق التوصل كيف التواصل,1
حال متى تفتحون تجتمع بنك,0
اقسم بالله شي يقهر التطبيق فاااااااشل اطلب من المكان الي فيه من المطاعم الي محددينها لي اعطيهم رقمي ويدعون علي ويقولون وين موقعك وانا قد وصفت لهم في التطبيق واذا أعطيتهم موقعي قالو مانويل لهذا المكان طيب كان ماحددتوه في البرنامج ولا تخيل العامل دق علي يقول ان رصيده في الجوال قليل دق علي تخيلوا انا ادق على الهندي ماهو هو ولا وشك تفهم عليه ولا اتفهم كلمه,-1
لذيذ جدا جدا,1
ممتازه الخدمه بس في تأخير وايدللمطاعم اكثر من المده المكتوبه,1
شركة متطورة أدخلت نظام جديد للتسوق هو التجارة إلى مصر,1
تطبيق مقرف وسيء جدا.... لا انصح باستخدامه او حتى تنزيله... قمه القرف المعامله السيئه.... بوخذو الفلوس وما بيجي الطلب... وواستنى لحتى ترجع الفلووس.... واذا الطلب بكون بارد.... تطبيق باله بكل معنى الكلمه...,-1
جيد,1
حملت التطبيق وعم يطلعني وحاليا ميته من الجوع,-1
تحفة red heart,1
الطلب دايم يتأخر الى ساعتين معدا ماك كنتاكي يوصلون لك على الوقت,-1
ياجماعه فين help اللي تقولوا نرسل عليها المشكله ارجوكم ساعدوني كل ما اكتب رقم المقابل يقول الرقم موصول بحساب جوجل ادخل من جوجل يفضل بس يكتبلي برو نفس الجمله وبعدييييييين,-1
احلى لعبه بالعالم بس والله عليها تنزل على السريع اذا نزلت على السريع بشركة للابد,1
"a great means of transportation, health from individual crowds, and it is a great idea for mass transportation, a waiting station for judgment, as it is a good company",1
موحلة لاتنزلونه□□□□●●●●,-1
شركة عصابة هو تسرق العملاء هو تقفل بعض حسابات العملاء من غير سبب ، إدارة الشركة هو إدارة خدمة العملاء المصرية هو خدمة العملاء المصريين هو موقعهم في مصر كلهم سيئ ، خلي بالكم من التعامل مع ape هو خاصتي خدمة العملاء ، كلهم لا يفهموا شي ، للاسف خدمة العملاء لما بقت في مصر بقى الأغلب فيها بستهبلوا.,-1
لن,1
ممتاز جدا وخدمات سريعه,1
طريق وحش وحامي والله اخد لوسي ومش راضي يرجعها كل دة عشان طلبت استعادة للجلوس وقالولي نراجع المشكلة نكلمك خلال فعلنا كتيررر محدش لا رجع الفلوس ولا حتى حد عبرنا بمكالمة يفهمنا السبب حسب الله ونعم الوكيل فيهم دة حتى الطلب اللي رجع الفلوس بسبب مجالنا اشعار انه اتلقى وفعلنا ممتنين ساعتين وقالولنا ان الطلب وصل منهم لله انا سلطان اني اشتركت معاهم,-1
افضل برنامج وأسرع برنامج وافعل تطبيق كل ما بيت اطلب كله شي مشغول طالب من ساعه يوصل طلبك ساعه,1
اسواء شركه لا بتوخذ منهم حق ولا باطل,-1
face with tears of joy هههههههههههههههههههه هل ههههههههههههههههههه,1
برنامج سهل هو جميل جدا انصح الاستخدام به thumbs up,1
مستحيل,-1
التطبيق جيد من حيث التعليقات ووصف المطعم لاكن الطلب اذا يطلع لازم فوق الديناري خفض من القيمه,-1
من افضل التطبيقات الموجودة,1
نبي معي,1
يرجى حل مشكلة عدم فتح التطبيق سريعا عندنا فلوس في المحفظة مش عارفين نعرفها,-1
هيييه هيييه,1
صدق موقع حلو مره وشكرا,1
وربي ابلكيشن زلت وربي مصابين وابلكيشن غير مطور لتوهم ناصبين علي سارقين لوسي ورافضين يعطونياها,-1
غاليه,1
استغفرالله,1
يجب اظهار رقم العميل الي استلم منو,1
ليبيا غير موجود هذا باله,-1
camera television person rowing boat pizza pot of food meat on bone french fries spaghetti pizza poultry leg dang honey pot custard doughnut soft ice cream shortcake,1
رجعوا لموظفينكم حقوقهم,-1
العنوان صح والموقع علي عنوان خطاء تكاليف,-1
thumbs down thumbs down الاوردر بيجي متاخر دايمااا,-1
ممتاز بس بينج كبير سريييييع مسافه الدوله فعلا,1
طبعا البرنامج ممتاز ولا يوجد اي ملاحظات وشكرا,1
يجنون الى الامام سر,1
فى اية كل ما انزل البرنامج مش راضى ينزل يقول عاوز تحديث ممكن اعرف المشكلة فين,1
الصورة,1
أفضل برنامج للطلبات,1
افضل تطبيق لطلب الطعام,1
شكرا جزيلا على جهدكم,1
ممتاز شكرا صاحب التطبيق,1
ايغو,1
فوللللللللللللل قوييييي جربه هو مرات اتحسن والله,1
توصلت لم محال عسير,0
جيد جدا وتوفر وسريع التوصيل ومريح,1
i hate you we,-1
افضل تطبيق العالم,1
الطلب لم يصل والسبب مقفل المطعم,-1
ممتاز جدا جدا بس انا بطلب هو يقولو في اماكن لا لا ليه يعني كده هو مره طلبت هو بقولي عيد الطريق لديه يعني يا ريت تزنلو الاسعار شويه بليز بليز,1
لا يوجد توصيل لمناطق كثيرا,-1
خدمه مميزه جدا انصح بتنزيل التطبيق,1
قسم بالله برنامج مخيف حتى إذا صارت منهم المشكله يعوضونك صح بس ما تقدر تدفعها من عندهم هو لك مده عشان تدفعها واذا ما دفعتها هو خلصت المده الي عليك ياخذون الفلوس قلت حيه صراحه thumbs down thumbs down سرقه عيني عينيك هو بعض الطلبات غلط المطاعم مالها دخل بس البرنامج نفسه thumbs down سسسيء,-1
الصراحه التطبيق زلت لانه بحكيلو انا ساكنة بشارع جيدون,-1
blue heart purple heart,1
كل ما اطلب موردر يتاخر انا امسح الابلكيشن,-1
جيد جدا متفقين,1
اللي يقول ان التطبيق فاشل.. انسان غبي لايعرف يتعامل مع التطبيق.. اتعامل معه من زمان روعه,1
يكفي ان منتجاته افضل ولها جودة عالية دون غيرها من منتجات تنافسية,1
سيء جدا طلبت طلب وجبات شارما دبل مجاني وجبات شارما عادي ما فيهم الا كل وجبة حبات وكم حبة بطاطا وطلب حسابي دينار,-1
طريق ممتاز والله يعطيكم الكافيه ..,1
طلبت والي يوصل الطلب من يفهم عربي عجزت اسوف معاه face with tears of joy,1
جميل انصحك تحملون,1
كره حلو انصحك أنزلوه,1
كابتن محترم هادي ممتاز,1
احبكم تطبيقي,1
أحلى برنامج,1
بس المشكلة انه بعض المدن مب موجوده,-1
افضل تطبيق وأسرع تطبيق يصل بسرعة,1
ووووووو ووووو. ووووووو ووووووو وووو. وو sparkling heart growing heart revolving hearts two hearts graduation cap graduation cap,1
çlimate merle,1
ياناس احذروا من تطبيق طلبات سرقة ممنهجة ياخذ الفلوس بالدفع الإلكتروني ويلي الطلب ومايرجع الفلوس تطبيق طلبات تطبيق للسرقة فقط,-1
احلى هو أسرع تطبيق,1
نجوم اجمل اروع برنامج رائع,1
واو اجمل الطعام الساخن,1
ظن,-1
دو على ابو قطن له يقيم الأكل,1
نةىزرةس,-1
نحنا في سلطته عمان هو برنامج طلبات مره كوول,1
نبي مجاني توصيل,0
thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down,-1
تطبيق رائع ، انصح بتجربة التطبيق,1
افضل تطبيق لي الوجبات,1
لا اله الا الله محمد رسول الله البرنامج ممتاز,1
تطبيق زبالة. يعرض لي عندما اسجل حساب جديد في المحفظة يقول لي الحساب ينتمي الي هاتف اخر يرجي حذف التطبيق وتنزيلة مرة اخري تطبيق فاشل,-1
ممتاز اطلق تطبيق مال الاكل واو smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes,1
سؤال اللي وبامكانك السريع هو يكون راكب فيزا قطعنااك مثل كارت بنك,0
للأسف لم تصلني رسالة التفعيل,-1
عجيب red heart red heart blue heart green heart yellow heart,1
أنا نسيت البريد الإكتروني؛ ماذا أفعل,-1
بهلنل,-1
هاذا التطبيق رائع جدا جدا والله العظيم,1
برنامج توصيل سيئ حين الي قرار ومحفظات مدينه من مدن المملكه ماله اسم اعود بالله,-1
مش راضي يدين الجنيهزي ما في الاعلان ولا كان جر رجل فقط انا عارف انتوا تطبيق محترم مش عاوز جيلي ليه,1
روعة في ناس كتير تشتكي مش عارف لية الخدمة روعة وتستحق الاحترام,1
خدمة ممتازة واسعارها جميلة,1
اسوء تجربة خدمة سيئة,-1
انهو جميل فقد اضيف البيك,1
تطبيق جيد لكن في مشاكل في القسائم مش تظهر مكانها في اوقات كتير,-1
